05/05/18|4|N.N. (1 man)|Africa|1 died off coast of Tripoli (LY) after Libyan coast guard banned NGO ships from approaching; 3 missing, 114 rescued|AFP/IOM Libya/BangkokPost
30/4/2018|2|N.N. (2 men)|unknown|bodies recovered in Gasr Garabulli (aka Castelverde) (LY)|IOM Libya
30/4/2018|1|N.N. (woman)|unknown|body recovered on Tajoura beach (LY)|IOM Libya
30/4/2018|6|N.N. (1 baby; 5 men)|unknown|bodies recovered in Zuwara (LY)|IOM Libya
30/4/2018|1|N.N. (man)|Algeria|drowned trying to swim across the Kolpa River on Croatian-Slovenian border; 7 intercepted by police|IOM Slovenia/TotSloveniaNews
29/4/2018|19|N.N. (1 man)|Africa|16 drowned in shipwreck off Cap Falcon, Oran (DZ) on way to Spain; 3 missing, 19 rescued|ObsAlgerie/Caminando/EFE/Réf/QUOTI/IOM
25/4/2018|17|N.N.|Sub-Saharan Africa|5 drowned afer boat sank between Morocco and Spain near Alboran Island; 12 missing, 17 rescued|ElDiario/Caminando/SalvaM/EuroPress
22/4/2018|11|N.N. (1 boy; 10 men)|unknown|drowned when rubber dinghy overturned in the Mediterranean Sea near Sabratha (LY); 83 rescued|MEE/Reu./IOM Libya/JapanTimes
20/4/2018|1|N.N. (boy, 6 months)|Eritrea|strangled by desperate mother who hanged herself afterwards in Eckolstädt asylum centre (DE)|Berliner Ztg/FR-th/OTZ
20/4/2018|1|Snaid Tadese (woman, 19)|Eritrea|suicide, strangled her baby and hanged herself out of despair in Eckolstädt asylum centre (DE)|Berliner Ztg/FR-th/OTZ
20/4/2018|1|N.N. (man, 30)|unknown|electrocuted when he climbed on roof of freight train in depot outside Thessaloniki (GR)|AP/NYTimes/MailOnline
19/4/2018|2|N.N.|unknown|died in accident in Horasan (TR) when smuggler driving their truck saw control point and panicked|HurriyetDN/PrensaLat
14/4/2018|1|N.N. (man)|unknown|died of cardiac arrest, body found near border fence in Anyera in the Spanish enclave of Ceuta (ES)|FaroCeuta/APDHA/CeutaTV/IOM
13/4/2018|1|N.N. (man)|unknown|died of cardiac arrest, body found near border fence in Anyera in the Spanish enclave of Ceuta (ES)|FaroCeuta/APDHA/IOM/CeutaTV
10/4/2018|1|N.N. (man)|unknown|drowned in the Kolpa River near Črnomelj (SI) on border with Croatia|IOM Slovenia/AFP
09/4/2018|1|N.N. (man)|unknown|drowned in the Kolpa River near Črnomelj (SI) on border with Croatia|DELO/IOM Slovenia
09/4/2018|36|N.N.|unknown|6 presumed drowned off coast of Houara 20 km south of Tangiers (MA); 30 missing, 10 survived|EFE/Caminando/El Diario/IOM
06/4/2018|1|Omar "Susi" (boy, 16)|Maghreb|deliberately crushed by truck near Port of Ceuta (ES) after driver chased after refugees|El Faro de Ceuta/Ceuta Actualidad/IOM
06/4/2018|1|N.N. (woman)|unknown|drowned, found on Jabonera beach in Tarifa, Cádiz (ES)|Diario de Cádiz/IOM/EPress/EFE
02/4/2018|1|N.N. (man)|unknown|presumed drowned, body found 6 nautical miles northwest of Port of Bouzedjar in Ain Témouchent (DZ)|Liberté/Ouest Tribune/IOM
01/4/2018|11|N.N. (1 man)|unknown|4 drowned after boat capsized between Tangier (MA) and Tarifa (ES); 7 missing, 1 rescued|Watch TheMed/IOM Spain/SalvaM/HinduTimes
01/4/2018|1|N.N. (man)|unknown|presumed drowned, body found near Habibas Islands off coast of Ain Témouchent (DZ)|Réf/DK/OuestT/IOM
01/4/2018|1|N.N. (man)|unknown|presumed drowned, body found off coast of Al Hoceima (MA)|EFE/IOM/YABI
31/3/2018|1|N.N.|unknown|presumed drowned, body found west of Sbiaat beach in Ain Témouchent (DZ)|Réf/DK/OuestT/IOM
30/3/2018|17|N.N.|unknown|died in vehicle accident in province of Igdir province (TR) near border with Armenia; 33 survivors|Reu./LV/IOM
29/3/2018|7|N.N. (7 men)|unknown|presumed drowned, unspecified location in the Strait of Gibraltar between Morocco and Spain|Caminando/IOM
28/3/2018|1|N.N. (boy, 16)|Eritrea|died in hospital in Lille after jumping from truck on motorway near Port of Calais (FR)|CMS/Parisien/VoixDuNord/IOM
24/3/2018|1|N.N. (woman)|unknown|died of lack of access to medicines in hospital in Turin (IT) after being turned away on Italian-French border|CDS/FrSoir/IOM
22/3/2018|1|N.N. (man, 22)|Algeria|stowaway, got stuck between 2 vehicles at Zeebrugge port (BE) while trying to get to Great Britain|CMS
20/3/2018|1|N.N. (man)|unknown|presumed drowned, body found on shore of Tripoli (LY)|IOM Libya
18/3/2018|1|N.N. (man)|unknown|drowned, body recovered on beach in Rota, Cádiz (ES)|GuardiaCivil/EPress/IOM
17/3/2018|2|N.N.|unknown|died in vehicle acccident on highway near Xanthi (GR) near Bulgarian border; 7 survivors|Reu./AP/IOM/ChNewsAsia
17/3/2018|19|N.N. (9 children)|Afghanistan, Iraq|16 drowned after migrant boat capsized off coast of Agathonisi (GR); 3 missing, 3 rescued|HellCoastG/IOM Greece/Reu./AP/ChNewsAsia
16/3/2018|1|N.N. (man)|unknown|presumed drowned, body found on beach in Tinajo, Lanzarote, Canary Islands (ES)|EFE/La Provincia/IOM/VozDeL
15/3/2018|1|Mame Mbaye Ndiaye (man, 35)|Senegal|died of heart attack after police chased street vendor through Madrid (ES) until he collapsed|LocalES/AfricaNews/TeleSur
14/3/2018|1|N.N.|unknown|went missing during rescue operation in the sea near Tangiers (MA); 9 rescued|Watch TheMed
